rung,fold,lambda,lambda_label,is_selected,block,design_columns,block_l2_norm,block_l2_norm_per_column
B5,2,3000,lam=3000,False,phase1_backbone,88,0.098370461699892192,0.010486326451324577
B5,2,3000,lam=3000,False,C_context,20,0.026261045503047219,0.0058721482905028741
B5,2,3000,lam=3000,False,X_prior_composite,18,0.022925877092570244,0.005403681052268584
B5,2,10000,lam=10000,False,phase1_backbone,88,0.049430837998908538,0.005269345035712714
B5,2,10000,lam=10000,False,C_context,20,0.0085788197682991861,0.0019182824168635976
B5,2,10000,lam=10000,False,X_prior_composite,18,0.012196365661582692,0.0028747109550452919
B5,3,100,lam=100,False,phase1_backbone,88,0.41103885948512758,0.043816889646111148
B5,3,100,lam=100,False,C_context,20,0.22776817155222878,0.050930511470161734
B5,3,100,lam=100,False,X_prior_composite,18,0.17359962742125604,0.040917824587009426
B5,3,300,lam=300,False,phase1_backbone,88,0.27129025062886347,0.028919637887183391
B5,3,300,lam=300,False,C_context,20,0.14243192073244032,0.03184874569235982
B5,3,300,lam=300,False,X_prior_composite,18,0.09690597372338125,0.022840957052429424
B5,3,1000,lam=1000,True,phase1_backbone,88,0.17410150705110453,0.018559283010943423
B5,3,1000,lam=1000,True,C_context,20,0.067141874211332775,0.015013379487328015
B5,3,1000,lam=1000,True,X_prior_composite,18,0.050161081849640951,0.011823080375844857
B5,3,3000,lam=3000,False,phase1_backbone,88,0.11702912812753187,0.012475346975631156
B5,3,3000,lam=3000,False,C_context,20,0.028364545372264943,0.0063425051603261482
B5,3,3000,lam=3000,False,X_prior_composite,18,0.031157785810847598,0.0073439605445361099
B5,3,10000,lam=10000,False,phase1_backbone,88,0.065692948187223862,0.0070028918065140637
B5,3,10000,lam=10000,False,C_context,20,0.0097894563410244537,0.0021889889841297042
B5,3,10000,lam=10000,False,X_prior_composite,18,0.019113608343949248,0.0045051206909834307
B5,4,100,lam=100,False,phase1_backbone,88,0.4257534688989178,0.045385472280067687
B5,4,100,lam=100,False,C_context,20,0.20838797225666103,0.046596967165923431
B5,4,100,lam=100,False,X_prior_composite,18,0.21355571327912867,0.050335564340267314
B5,4,300,lam=300,False,phase1_backbone,88,0.28774968588741118,0.030674219581148972
B5,4,300,lam=300,False,C_context,20,0.14056428009020266,0.03143112854900134
B5,4,300,lam=300,False,X_prior_composite,18,0.12609547461578999,0.029720988392587092
B5,4,1000,lam=1000,True,phase1_backbone,88,0.19064323066689809,0.020322636673265275
B5,4,1000,lam=1000,True,C_context,20,0.071720483229552642,0.016037187588041336
B5,4,1000,lam=1000,True,X_prior_composite,18,0.064196970438411882,0.015131371042877791
B5,4,3000,lam=3000,False,phase1_backbone,88,0.13102003636026668,0.013966782804473492
B5,4,3000,lam=3000,False,C_context,20,0.031798534240090527,0.0071103684145697029
B5,4,3000,lam=3000,False,X_prior_composite,18,0.035977597029275624,0.0084800009433992612
B5,4,10000,lam=10000,False,phase1_backbone,88,0.077283610050947929,0.0082384605127048764
B5,4,10000,lam=10000,False,C_context,20,0.011152101430049027,0.0024936856889562239
B5,4,10000,lam=10000,False,X_prior_composite,18,0.021439609328956118,0.0050533643808317458
B6,1,100,lam=100,False,phase1_backbone,88,0.38266412866532357,0.040792133177521228
B6,1,100,lam=100,False,C_context,20,0.26379012957614945,0.058985266152574795
B6,1,100,lam=100,False,X_prior_composite,24,0,0
B6,1,300,lam=300,False,phase1_backbone,88,0.22759595111791209,0.024261809908987676
B6,1,300,lam=300,False,C_context,20,0.14451298962254869,0.032314086842774051
B6,1,300,lam=300,False,X_prior_composite,24,0,0
B6,1,1000,lam=1000,False,phase1_backbone,88,0.13214942814960792,0.014087176373740339
