match_id,home_sot_residual_last5,away_sot_residual_last5,rel_sot_residual_diff,home_sot_residual_available,away_sot_residual_available,rel_sot_residual_available,home_match_number,away_match_number
1326,-1.4000000000000001,2.6000000000000001,-4,True,True,True,19,19
1327,1.7999999999999998,1.8,-2.2204460492503131e-16,True,True,True,19,19
1328,-2.3999999999999999,1.8000000000000003,-4.2000000000000002,True,True,True,19,19
1329,-0.79999999999999993,-1.7999999999999998,0.99999999999999989,True,True,True,20,20
1330,0.80000000000000004,-2.6000000000000001,3.4000000000000004,True,True,True,20,19
1331,2.3999999999999999,1.6000000000000001,0.79999999999999982,True,True,True,20,20
1332,1.3999999999999999,1.8,-0.40000000000000013,True,True,True,20,20
1333,0.80000000000000004,-4.4000000000000004,5.2000000000000002,True,True,True,20,20
1334,-2.1999999999999997,-1.2000000000000002,-0.99999999999999956,True,True,True,20,20
1335,-0.59999999999999998,2,-2.6000000000000001,True,True,True,20,20
1336,-0.80000000000000004,-1.6000000000000001,0.80000000000000004,True,True,True,20,20
1337,3.2000000000000002,1.7999999999999998,1.4000000000000004,True,True,True,19,20
1338,-0.39999999999999997,0,-0.39999999999999997,True,True,True,20,20
1339,-0.80000000000000004,0.59999999999999998,-1.3999999999999999,True,True,True,21,21
1340,0.40000000000000002,2.2000000000000002,-1.8000000000000003,True,True,True,21,21
1341,-0.19999999999999996,3.7999999999999998,-4,True,True,True,21,20
1342,-4,-0.20000000000000001,-3.7999999999999998,True,True,True,21,21
1343,1,0,1,True,True,True,21,21
1344,-3.6000000000000001,-1.2000000000000002,-2.3999999999999999,True,True,True,20,21
1345,-1.3999999999999999,2.6000000000000001,-4,True,True,True,21,21
1346,2.4000000000000004,0.39999999999999997,2.0000000000000004,True,True,True,21,21
1347,-1.8000000000000003,1.7999999999999998,-3.6000000000000001,True,True,True,21,21
1348,0.39999999999999991,-2.3999999999999999,2.7999999999999998,True,True,True,21,21
1349,0.19999999999999996,-0.80000000000000004,1,True,True,True,22,22
1350,-0.60000000000000009,4.4000000000000004,-5,True,True,True,22,21
1351,0.19999999999999996,0.59999999999999998,-0.40000000000000002,True,True,True,22,22
1352,0.19999999999999973,-0.40000000000000002,0.59999999999999976,True,True,True,22,22
1353,-3.3999999999999995,2.6000000000000001,-6,True,True,True,22,22
1354,-2.4000000000000004,-0.40000000000000013,-2,True,True,True,21,22
1355,-1.3999999999999999,0.80000000000000004,-2.2000000000000002,True,True,True,22,22
1356,1,1.3999999999999999,-0.39999999999999991,True,True,True,22,22
1357,-1.6000000000000001,-2.6000000000000005,1.0000000000000004,True,True,True,22,22
1358,1.2,1,0.19999999999999996,True,True,True,22,22
1359,1,-1.7999999999999998,2.7999999999999998,True,True,True,23,23
1360,1,-2.3999999999999999,3.3999999999999999,True,True,True,23,22
1361,3.6000000000000005,-1,4.6000000000000005,True,True,True,22,23
1362,0.39999999999999991,1.2,-0.80000000000000004,True,True,True,23,23
1363,-1.7999999999999998,-0.39999999999999991,-1.3999999999999999,True,True,True,23,23
1364,1.6000000000000001,1.4000000000000001,0.19999999999999996,True,True,True,23,23
1365,-1,-3.9999999999999996,2.9999999999999996,True,True,True,23,23
1366,2.7999999999999998,-0.40000000000000002,3.1999999999999997,True,True,True,23,23
1367,-1,0,-1,True,True,True,23,23
1368,0.60000000000000009,0.19999999999999996,0.40000000000000013,True,True,True,23,23
1369,1.2,2.7999999999999998,-1.5999999999999999,True,True,True,24,23
1370,-2.2000000000000002,0.19999999999999996,-2.4000000000000004,True,True,True,23,24
1371,-0.19999999999999996,-3,2.7999999999999998,True,True,True,24,24
1372,-0.80000000000000004,0,-0.80000000000000004,True,True,True,24,24
1373,-1.5999999999999999,0.40000000000000002,-2,True,True,True,24,24
1374,2.3999999999999999,-0.20000000000000001,2.6000000000000001,True,True,True,24,24
1375,0.19999999999999996,0,0.19999999999999996,True,True,True,24,24
1376,0.40000000000000002,1,-0.59999999999999998,True,True,True,24,24
1377,-1,2.7999999999999998,-3.7999999999999998,True,True,True,24,24
1378,0.80000000000000004,-3.2000000000000002,4,True,True,True,24,24
1379,-1.2000000000000002,1.6000000000000001,-2.8000000000000003,True,True,True,24,24
1380,1,0,1,True,True,True,25,25
1381,-0.20000000000000001,0.59999999999999987,-0.79999999999999982,True,True,True,25,25
1382,1.3999999999999999,0,1.3999999999999999,True,True,True,25,25
1383,0.39999999999999997,-2.7999999999999998,3.1999999999999997,True,True,True,25,25
1384,-0.39999999999999991,-0.19999999999999996,-0.19999999999999996,True,True,True,25,25
1385,0.40000000000000013,-1,1.4000000000000001,True,True,True,25,25
1386,-2.4000000000000004,0.20000000000000018,-2.6000000000000005,True,True,True,25,25
1387,-1,1.3999999999999999,-2.3999999999999999,True,True,True,25,25
1388,1.3999999999999999,2.3999999999999999,-1,True,True,True,25,25
1389,0.20000000000000001,-0.39999999999999997,0.59999999999999998,True,True,True,25,25
1390,0,0.19999999999999996,-0.19999999999999996,True,True,True,26,26
1391,-0.19999999999999996,0.60000000000000009,-0.80000000000000004,True,True,True,26,26
1392,0.19999999999999996,-1.2000000000000002,1.4000000000000001,True,True,True,26,26
1393,0.40000000000000002,0.60000000000000009,-0.20000000000000007,True,True,True,27,26
1394,-1,1.6000000000000001,-2.6000000000000001,True,True,True,26,26
