model,scope,class,bin,bin_lo,bin_hi,n,mean_predicted,observed_frequency,thin
D1,pooled,H,1,0.10000000000000001,0.20000000000000001,52,0.16435093803636036,0.096153846153846159,False
D1,pooled,H,2,0.20000000000000001,0.29999999999999999,184,0.25699659147192006,0.19021739130434784,False
D1,pooled,H,3,0.29999999999999999,0.40000000000000002,317,0.35142007250512936,0.33753943217665616,False
D1,pooled,H,4,0.40000000000000002,0.5,411,0.45100992337837198,0.46958637469586373,False
D1,pooled,H,5,0.5,0.59999999999999998,265,0.54309317147630953,0.57735849056603772,False
D1,pooled,H,6,0.59999999999999998,0.69999999999999996,189,0.64153706247773268,0.59788359788359791,False
D1,pooled,H,7,0.69999999999999996,0.80000000000000004,80,0.7434132059528743,0.66249999999999998,False
D1,pooled,H,8,0.80000000000000004,0.90000000000000002,17,0.82769455370212763,0.94117647058823528,True
D1,pooled,H,9,0.90000000000000002,1,0,,,True
D1,pooled,D,0,0,0.10000000000000001,2,0.083531384254607974,0,True
D1,pooled,D,1,0.10000000000000001,0.20000000000000001,256,0.17111057737656549,0.26171875,False
D1,pooled,D,2,0.20000000000000001,0.29999999999999999,1247,0.23930346807739963,0.23576583801122694,False
D1,pooled,D,3,0.29999999999999999,0.40000000000000002,15,0.31113611945049308,0.33333333333333331,True
