season,date,home_team,away_team,result,ll_market,ll_dc,ll_e1a,gap_dc,gap_e1a,gap_rps_dc,favourite_p,favourite_bin,matchweek,matchweek_bucket,promoted_detail,market_pick,favourite_correct
2023-2024,2023-10-07,Fulham,Sheffield United,H,0.4308543421129839,0.31478099137436488,0.41821706804816638,-0.11607335073861902,-0.012637274064817516,-0.025941038964963192,0.64995357474466109,0.60-0.70,8,MW 7-19,away promoted,H,favourite delivered
2025-2026,2026-04-11,Arsenal,Bournemouth,A,2.0119305118967077,2.334019532351804,1.858515081869667,0.32208902045509635,-0.15341543002704072,0.065527279472202271,0.65007764041762817,0.60-0.70,32,MW 32-38,neither promoted,H,favourite did not
2024-2025,2024-11-25,Newcastle,West Ham,A,1.8910215725027222,1.9623022413566131,1.4992045817831277,0.071280668853890949,-0.39181699071959453,0.012772967208342534,0.65050671049027675,0.60-0.70,12,MW 7-19,neither promoted,H,favourite did not
2024-2025,2025-01-26,Aston Villa,West Ham,D,1.6165847268009621,1.4731005617615727,1.4037863586188464,-0.14348416503938943,-0.21279836818211573,-0.048295809416957353,0.65050671049027675,0.60-0.70,23,MW 20-31,neither promoted,H,favourite did not
2024-2025,2024-11-09,Liverpool,Aston Villa,H,0.43000366518689509,0.36877956073303925,0.42471800506995999,-0.061224104453855843,-0.0052856601169350981,-0.017149618935428705,0.65050671049027675,0.60-0.70,11,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2023-12-17,Arsenal,Brighton,H,0.42635646713954067,0.3646211150597608,0.69096297185336064,-0.06173535207977987,0.26460650471381997,-0.01347768981402863,0.65288356909684442,0.60-0.70,17,MW 7-19,neither promoted,H,favourite delivered
2023-2024,2024-02-25,Wolves,Sheffield United,H,0.42485266846884273,0.27317857656678701,0.4043269499056395,-0.15167409190205572,-0.020525718563203232,-0.036263466200361992,0.65386611312921639,0.60-0.70,26,MW 20-31,away promoted,H,favourite delivered
2025-2026,2026-05-02,Arsenal,Fulham,H,0.42485266846884273,0.46949811897155103,0.62411522473422554,0.044645450502708295,0.19926255626538281,0.0095762075816297199,0.65386611312921639,0.60-0.70,35,MW 32-38,neither promoted,H,favourite delivered
2025-2026,2025-10-25,Chelsea,Sunderland,A,1.9991992610916731,1.4030783614606028,2.2302861767617532,-0.59612089963107029,0.23108691567008011,-0.2177938146132633,0.65386611312921639,0.60-0.70,9,MW 7-19,away promoted,H,favourite did not
2025-2026,2025-11-22,Liverpool,Nottingham,A,1.9991992610916731,2.1292604154721508,1.6944079269834529,0.13006115438047772,-0.30479133410822024,0.057077826451645164,0.65386611312921639,0.60-0.70,12,MW 7-19,neither promoted,H,favourite did not
2023-2024,2023-10-21,Newcastle,Crystal Palace,H,0.42485266846884273,0.4503241054494786,0.51863615083311121,0.025471436980635864,0.093783482364268478,0.007715304707860568,0.65386611312921639,0.60-0.70,9,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2026-04-19,Nottingham,Burnley,H,0.42485266846884273,0.57806087153843277,0.53965781556735193,0.15320820306959004,0.1148051470985092,0.041264614375097083,0.65386611312921639,0.60-0.70,33,MW 32-38,away promoted,H,favourite delivered
2025-2026,2026-02-11,Crystal Palace,Burnley,A,1.9991992610916731,1.8390839431677108,1.9820583222427073,-0.16011531792396227,-0.017140938848965837,-0.079981418097757384,0.65386611312921639,0.60-0.70,26,MW 20-31,away promoted,H,favourite did not
2024-2025,2024-12-26,Chelsea,Fulham,A,1.8018344353201017,1.6976527358836198,1.4236393406135353,-0.10418169943648192,-0.37819509470656643,-0.061275904268806136,0.65429422920617719,0.60-0.70,18,MW 7-19,neither promoted,H,favourite did not
2023-2024,2024-04-07,Tottenham,Nottingham,H,0.42419813694332548,0.52238907812694702,0.65920260946671283,0.098190941183621538,0.23500447252338735,0.028258261312502031,0.65429422920617719,0.60-0.70,32,MW 32-38,neither promoted,H,favourite delivered
2024-2025,2024-10-19,Tottenham,West Ham,H,0.42419813694332548,0.51291352266410895,0.42205999701976427,0.088715385720783468,-0.0021381399235612109,0.0254723982906363,0.65429422920617719,0.60-0.70,8,MW 7-19,neither promoted,H,favourite delivered
2024-2025,2024-09-14,Brighton,Ipswich Town,D,1.6107632936751692,1.3690028856163716,1.2048863417621243,-0.24176040805879762,-0.40587695191304496,-0.033307682043540121,0.65430463576158937,0.60-0.70,4,MW 1-6,away promoted,H,favourite did not
2022-2023,2022-12-31,Newcastle,Leeds United,D,1.6107632936751692,1.9606876150058989,1.5349306714714062,0.3499243213307297,-0.075832622203763078,0.086912009831041331,0.65430463576158937,0.60-0.70,18,MW 7-19,neither promoted,H,favourite did not
2022-2023,2023-03-18,Chelsea,Everton,D,1.4864907032888581,1.3617021044082682,1.4530927143911423,-0.12478859888058991,-0.033397988897715836,-0.02468518977370715,0.65509845973874048,0.60-0.70,28,MW 20-31,neither promoted,H,favourite did not
2023-2024,2024-02-24,Bournemouth,Manchester City,A,0.42246268447673557,0.4109919325246475,0.47400660631238534,-0.011470751952088076,0.051543921835649764,-0.00091706862704792058,0.65543071161048683,0.60-0.70,26,MW 20-31,neither promoted,A,favourite delivered
2025-2026,2026-01-03,Brighton,Burnley,H,0.42246268447673557,0.41689386602784922,0.49355829192720718,-0.0055688184488863479,0.07109560745047161,-0.00023929081518866968,0.65543071161048683,0.60-0.70,20,MW 20-31,away promoted,H,favourite delivered
2023-2024,2023-09-30,West Ham,Sheffield United,H,0.42246268447673557,0.19372901686895996,0.40906052077634059,-0.22873366760777561,-0.013402163700394987,-0.050075977871587463,0.65543071161048683,0.60-0.70,7,MW 7-19,away promoted,H,favourite delivered
2023-2024,2023-12-09,Crystal Palace,Liverpool,A,0.42179527959507479,0.45171201149265711,0.74128885909769393,0.029916731897582316,0.31949357950261914,0.010085406472585684,0.65586829527349977,0.60-0.70,16,MW 7-19,neither promoted,A,favourite delivered
2024-2025,2025-01-25,Southampton,Newcastle,A,0.42179527959507479,0.20166737955572053,0.53263747851025878,-0.22012790003935426,0.11084219891518399,-0.051944877720572102,0.65586829527349977,0.60-0.70,23,MW 20-31,home promoted,A,favourite delivered
2022-2023,2022-08-21,Newcastle,Manchester City,D,1.6152967840537154,1.6542524761964386,1.425068783515764,0.038955692142723208,-0.1902280005379513,0.031051902407489562,0.65586829527349977,0.60-0.70,3,MW 1-6,neither promoted,A,favourite did not
2025-2026,2026-05-04,Everton,Manchester City,D,1.6152967840537154,1.2365146389630788,1.3248936824930244,-0.37878214509063657,-0.29040310156069093,-0.075223527774089777,0.65586829527349977,0.60-0.70,35,MW 32-38,neither promoted,A,favourite did not
2025-2026,2025-11-08,Sunderland,Arsenal,D,1.5226325748229608,0.99816475434152352,1.2838912966393383,-0.52446782048143725,-0.23874127818362245,-0.11001967247831448,0.65592544566574162,0.60-0.70,11,MW 7-19,home promoted,A,favourite did not
2024-2025,2025-01-20,Chelsea,Wolves,H,0.42002525943949393,0.40582235852716331,0.48723916701892145,-0.014202900912330618,0.067213907579427523,-0.0038502133128343885,0.65703022339027606,0.60-0.70,22,MW 20-31,neither promoted,H,favourite delivered
2024-2025,2024-11-30,West Ham,Arsenal,A,0.41766551186061807,0.41154128811586094,0.65915124679911385,-0.0061242237447571291,0.24148573493849579,-0.0025567922215864736,0.65858247961530425,0.60-0.70,13,MW 7-19,neither promoted,A,favourite delivered
2025-2026,2026-03-03,Wolves,Liverpool,H,1.938149519024712,1.8486796042132443,1.3777430848544601,-0.08946991481146771,-0.56040643417025193,-0.060824612691854796,0.65901814300960515,0.60-0.70,29,MW 20-31,neither promoted,A,favourite did not
2022-2023,2022-10-15,Tottenham,Everton,H,0.4157820750790967,0.28360801319941431,0.39198687053626435,-0.13217406187968239,-0.023795204542832349,-0.033110776135315309,0.65982404692082108,0.60-0.70,11,MW 7-19,neither promoted,H,favourite delivered
2022-2023,2022-08-28,Nottingham,Tottenham,A,0.41370177017404342,0.51427733910221507,0.24167740237935623,0.10057556892817165,-0.17202436779468719,0.022315817172164465,0.66119811086254043,0.60-0.70,4,MW 1-6,home promoted,A,favourite delivered
2022-2023,2023-02-04,Everton,Arsenal,H,2.1890341607698036,2.5833074866761039,1.8625661866802676,0.39427332590630026,-0.32646797408953598,0.10079966968746989,0.66125805734607701,0.60-0.70,22,MW 20-31,neither promoted,A,favourite did not
2023-2024,2024-05-05,Liverpool,Tottenham,H,0.41360056827863229,0.45279315644865958,0.51317263511900957,0.039192588170027298,0.099572066840377282,0.0084174566169405302,0.66126502875065341,0.60-0.70,36,MW 32-38,neither promoted,H,favourite delivered
2023-2024,2024-04-07,Sheffield United,Chelsea,D,1.6565987483408426,1.7622322049040766,1.6533600155321166,0.10563345656323397,-0.003238732808725997,0.0064239053477801733,0.66245413779046058,0.60-0.70,32,MW 32-38,home promoted,A,favourite did not
2022-2023,2023-03-11,Tottenham,Nottingham,H,0.41136247139429843,0.23750282685247012,0.46464813235842634,-0.17385964454182831,0.053285660964127901,-0.040838170923377999,0.66274666135140525,0.60-0.70,27,MW 20-31,away promoted,H,favourite delivered
2024-2025,2024-11-23,Leicester City,Chelsea,A,0.41136247139429843,0.39616998982302343,0.65780216378362788,-0.015192481571275007,0.24643969238932945,-0.0012359026213394075,0.66274666135140525,0.60-0.70,12,MW 7-19,home promoted,A,favourite delivered
2025-2026,2025-12-03,Arsenal,Brentford,H,0.40871906749461473,0.39576248448085272,0.51362462847545554,-0.012956583013762013,0.10490556098084081,-0.0021631752593784734,0.6645008860011814,0.60-0.70,14,MW 7-19,neither promoted,H,favourite delivered
2025-2026,2026-05-24,Manchester City,Aston Villa,A,1.9282500940262992,2.1806230206917006,1.8128533931488169,0.25237292666540134,-0.11539670087748233,0.04653506093390436,0.66557444194142945,0.60-0.70,38,MW 32-38,neither promoted,H,favourite did not
2024-2025,2025-02-15,Aston Villa,Ipswich Town,D,1.6141551390266156,1.4520542209970921,1.3484170487375147,-0.16210091802952342,-0.26573809028910089,-0.032265655720373043,0.66586562531290683,0.60-0.70,25,MW 20-31,away promoted,H,favourite did not
2024-2025,2025-04-26,Chelsea,Everton,H,0.40666739259323476,0.84414947026557474,0.58387779605840795,0.43748207767233999,0.17721040346517319,0.13445601746958949,0.66586562531290683,0.60-0.70,34,MW 32-38,neither promoted,H,favourite delivered
2025-2026,2026-05-04,Chelsea,Nottingham,A,2.0019206700353789,1.0549369530589692,1.1038158247133754,-0.94698371697640971,-0.89810484532200352,-0.31670140258502455,0.66586562531290683,0.60-0.70,35,MW 32-38,neither promoted,H,favourite did not
2022-2023,2022-09-17,Newcastle,Bournemouth,D,1.5715876883030029,1.903878986911318,1.5575682602695955,0.33229129860831508,-0.014019428033407388,0.080182254395746722,0.66765578635014844,0.60-0.70,8,MW 7-19,away promoted,H,favourite did not
