fold,test_season,cutoff,window_matches,c_pooled,c_home,c_away,rho,goals_home_multiplier,sot_home_multiplier,goals_degenerate,sot_degenerate,goals_converged,sot_converged
2,2023-2024,2024-02-20,1008,0.33885659995760198,0.33992677795921616,0.33763823381875618,-0.030732302362858802,1.163381824335787,1.154439000114122,0,0,True,True
2,2023-2024,2024-02-21,1009,0.33686480734753521,0.3369305700780475,0.33678921716981958,-0.023262503143123218,1.1617491892107141,1.1597014614539713,0,0,True,True
2,2023-2024,2024-02-24,1010,0.336637436815939,0.33651801142790955,0.33677614695507874,-0.023292333568794531,1.1648428698250197,1.1650519424373158,0,0,True,True
2,2023-2024,2024-02-25,1016,0.336716947064923,0.33602974556158749,0.33753057979151529,-0.023419204768600092,1.1749627471183293,1.1806715654798905,0,0,True,True
2,2023-2024,2024-02-26,1017,0.33612898094887206,0.33637880692723326,0.33583405089992102,-0.014440717038191435,1.1725577579583153,1.17322792379701,0,0,True,True
2,2023-2024,2024-03-02,1018,0.33687358300006914,0.33848831533643342,0.33497428735658513,-0.015452457498857874,1.180109979637135,1.1710013650821305,0,0,True,True
2,2023-2024,2024-03-03,1025,0.33692032719481729,0.3386166487740323,0.33491299836024002,-0.0023942733894580406,1.1953501648705851,1.1868780724719985,0,0,True,True
2,2023-2024,2024-03-04,1027,0.33688365000917708,0.33680036405767144,0.33698316806437556,-0.0013528032184855988,1.1925122432060971,1.1957131592002885,0,0,True,True
2,2023-2024,2024-03-09,1028,0.33837946560762672,0.33680036405767144,0.3402429424589275,0.00049035843202048729,1.181335919209163,1.1894605993449423,0,0,True,True
2,2023-2024,2024-03-10,1033,0.33480434828111733,0.33458588787088428,0.33506245805842977,-0.011064478595962315,1.1793274216136709,1.1801829578069756,0,0,True,True
2,2023-2024,2024-03-11,1037,0.33477714650353679,0.33387513772378574,0.33583359334226676,-0.0055444941745862002,1.1566332389452023,1.1668398809452565,0,0,True,True
2,2023-2024,2024-03-13,1038,0.33551560855218604,0.33421626986613701,0.3370445266437358,-0.0052777031936061449,1.1610071148527463,1.1725155680322998,0,0,True,True
2,2023-2024,2024-03-16,1039,0.33681288996953634,0.33490007976516462,0.33907612635421031,-0.0035056860752770615,1.1634761221105632,1.1771939561447606,0,0,True,True
2,2023-2024,2024-03-17,1042,0.33505698890146068,0.33521939040648274,0.33486522106591959,-0.016232862642370165,1.1810437342147997,1.1807943310757552,0,0,True,True
2,2023-2024,2024-03-30,1043,0.33429501587258448,0.33451460912825681,0.33403595871828468,-0.027014908659654127,1.182935709009302,1.1834443331294973,0,0,True,True
2,2023-2024,2024-03-31,1051,0.33444112860634917,0.3351686377360989,0.33357791420688182,-0.051200831446538274,1.1872438918331853,1.1833551430360254,0,0,True,True
2,2023-2024,2024-04-02,1053,0.33346211429527106,0.33408006930226342,0.33272647320879556,-0.070978705297759251,1.1867528028969201,1.1845846708399568,0,0,True,True
2,2023-2024,2024-04-03,1058,0.33211515115917062,0.33230110993582984,0.33189157581831852,-0.087998132541671728,1.1985027934864452,1.2016485822132268,0,0,True,True
2,2023-2024,2024-04-04,1061,0.33099231176367638,0.33266711776296742,0.3289682100185391,-0.10624249878666629,1.2042336592683731,1.1998783697741764,0,0,True,True
2,2023-2024,2024-04-06,1063,0.33215955253992774,0.33336638499554155,0.33068687867822433,-0.10242371155724425,1.2000330561019119,1.200682720046875,0,0,True,True
2,2023-2024,2024-04-07,1070,0.33367589200620973,0.33168347333976816,0.33609891695805699,-0.069058525113714311,1.1823895071978276,1.2021216849283725,0,0,True,True
2,2023-2024,2024-04-13,1073,0.33403418256550227,0.3327105243586102,0.33564157545990492,-0.069579454286516421,1.1943853583974771,1.2093675336070795,0,0,True,True
2,2023-2024,2024-04-14,1079,0.33511087470668577,0.33539042936984725,0.33476600023080982,-0.079299843795754998,1.217840298701679,1.2222960793313296,0,0,True,True
2,2023-2024,2024-04-15,1082,0.33217878032178977,0.33075004898071175,0.3339292826696138,-0.049595451509126753,1.1867118319602594,1.2099966176235888,0,0,True,True
2,2023-2024,2024-04-20,1083,0.33327453084322317,0.33340187686904654,0.33311733581812264,-0.04766683715867532,1.2042933223230421,1.2172509208478344,0,0,True,True
2,2023-2024,2024-04-21,1086,0.33236185726174255,0.32973396160412216,0.33555359508216281,-0.042133511483556672,1.1739352007651547,1.2058118378707114,0,0,True,True
2,2023-2024,2024-04-23,1090,0.33490583269267366,0.33408051545790424,0.33590759025619027,-0.043766711088125416,1.1910031414968323,1.2061452547583305,0,0,True,True
2,2023-2024,2024-04-24,1091,0.33562273188141023,0.33572251227115313,0.33550055763247966,-0.04398318468944689,1.202447364560677,1.2123660694188849,0,0,True,True
2,2023-2024,2024-04-25,1095,0.33271517035442277,0.33371885921699629,0.33147816347933934,-0.030949050519496771,1.2201076536452296,1.223224235099007,0,0,True,True
2,2023-2024,2024-04-27,1096,0.33325296617608013,0.33274711996739059,0.33387375359665106,-0.031594350610116027,1.2062795407692957,1.2211040213110038,0,0,True,True
2,2023-2024,2024-04-28,1103,0.33152158543781285,0.33434895999276582,0.32808715153536777,-0.040538750299157718,1.2121553230156215,1.210023322639467,0,0,True,True
2,2023-2024,2024-05-02,1106,0.33344092998462865,0.33591583733651487,0.330437289710515,-0.041885981786734909,1.2207214023351425,1.2181214951430177,0,0,True,True
2,2023-2024,2024-05-03,1107,0.33308717647513592,0.33622537408483194,0.32927353528305875,-0.041729136268409302,1.2287150514068255,1.2202833210061097,0,0,True,True
2,2023-2024,2024-05-04,1108,0.33273413986702999,0.33556631151672905,0.32928787542158111,-0.052304925220157242,1.2288234331894101,1.2232104845780125,0,0,True,True
2,2023-2024,2024-05-05,1113,0.33257815160025261,0.33423783502607629,0.33054239345915698,-0.06819147322966905,1.2230421398700289,1.2264752151671015,0,0,True,True
2,2023-2024,2024-05-06,1116,0.33123264436060734,0.33267824473098262,0.32941958592822063,-0.047849162722387553,1.2455720987306955,1.2463152762132645,0,0,True,True
2,2023-2024,2024-05-11,1117,0.33124552826190085,0.33329478728508616,0.32865761127651405,-0.048108236209814928,1.2589207774703035,1.2539919036957285,0,0,True,True
2,2023-2024,2024-05-12,1125,0.33149618323840441,0.32936815359644278,0.33420037180283912,-0.049411082627998912,1.2342511232988906,1.266194487143619,0,0,True,True
2,2023-2024,2024-05-13,1126,0.3308243523530584,0.32876821167232984,0.33342686881756151,-0.041469094611896018,1.2366598031762126,1.2668082217566166,0,0,True,True
2,2023-2024,2024-05-14,1127,0.3318575947375158,0.3300056842974492,0.33419338380524699,-0.040120645429283799,1.2364054068130499,1.266217022083858,0,0,True,True
2,2023-2024,2024-05-15,1128,0.33118557417149264,0.32849720257304094,0.33457233513846363,-0.040318284779671983,1.2354140770134989,1.2694903617222679,0,0,True,True
2,2023-2024,2024-05-19,1130,0.33121169419355934,0.32914914179171079,0.33379209206981986,-0.038292500201770156,1.236426775298276,1.2604233878601929,0,0,True,True
3,2024-2025,2024-08-16,1140,0.33132747924477468,0.32732560935025717,0.33635718819806831,-0.037767853441729012,1.2168767694505982,1.2515217192273955,0,0,True,True
3,2024-2025,2024-08-17,1141,0.33018002257180035,0.32633305282628544,0.3350338622068314,-0.015955536153499386,1.2202946823354726,1.2551325176307637,0,0,True,True
3,2024-2025,2024-08-18,1147,0.32861508121010896,0.32351806777181086,0.3349567215844968,-0.029303354889062293,1.1967166620050462,1.2465140620739192,1,0,True,True
3,2024-2025,2024-08-19,1149,0.32757751957444725,0.32262964571578123,0.3336811775141913,-0.028635942496264492,1.2007863358568647,1.2456914495291052,1,0,True,True
3,2024-2025,2024-08-24,1150,0.32651519064434165,0.32267824467264389,0.33120839037183297,-0.046264591103287359,1.2019651928364583,1.2417966949982548,1,0,True,True
3,2024-2025,2024-08-25,1157,0.32846166926235359,0.32662982351411102,0.33069703157837083,-0.039245453060253593,1.2011317466884437,1.2185768959223857,0,0,True,True
3,2024-2025,2024-08-31,1160,0.32992779256567772,0.32629753278184992,0.33434276894864218,-0.056268452788397372,1.1869401091176006,1.2132430506180962,0,0,True,True
3,2024-2025,2024-09-01,1167,0.32828047361347362,0.3237676168716952,0.33369822234520696,-0.099065902360950087,1.1726127263481221,1.206659958913233,0,0,True,True
3,2024-2025,2024-09-14,1170,0.32811904284169063,0.32203794534227481,0.33540482943510297,-0.11376943657730994,1.160234344656832,1.211264861177727,0,0,True,True
3,2024-2025,2024-09-15,1178,0.32313000475349285,0.31214161333104751,0.33646683838866431,-0.06872312103191687,1.111414826703526,1.2067724189657731,0,0,True,True
3,2024-2025,2024-09-21,1180,0.32118739736978102,0.30908511037239339,0.33583109707893494,-0.056984932716012952,1.1138799379119766,1.2098769919525827,0,0,True,True
3,2024-2025,2024-09-22,1188,0.31447132580984166,0.30535649343310195,0.32554904333359619,-0.10982105324406637,1.1321265241503247,1.209631945231062,0,0,True,True
3,2024-2025,2024-09-28,1190,0.3157605173748872,0.30498028185965886,0.32898363205660386,-0.10622257172265821,1.1284638101209126,1.2172001913469792,0,0,True,True
3,2024-2025,2024-09-29,1197,0.31736958157618977,0.30771436248452072,0.32919996605185248,-0.11709496310226945,1.1424950238503013,1.2248042227857521,0,0,True,True
3,2024-2025,2024-09-30,1199,0.31785170689412062,0.30750662132979745,0.33037651879401364,-0.11867114712702925,1.1330793458589352,1.2141725092488178,0,0,True,True
3,2024-2025,2024-10-05,1200,0.31869324793278625,0.30906207513641809,0.33039102853664404,-0.11498785746747592,1.1350848577388704,1.2132244409313016,0,0,True,True
3,2024-2025,2024-10-06,1207,0.31991831558402456,0.31098682160897478,0.33104322010033249,-0.10359391186249718,1.1484000217286439,1.2341552656980748,0,0,True,True
3,2024-2025,2024-10-19,1210,0.31829236802992061,0.31093148116047348,0.32737958989229804,-0.14381898705621821,1.1458662323899871,1.2264952985740198,0,0,True,True
3,2024-2025,2024-10-20,1217,0.31808578863074399,0.30860801773162871,0.32986776981225813,-0.10566302269378144,1.1482773832906024,1.2353899798600301,0,0,True,True
3,2024-2025,2024-10-21,1219,0.31875296421544902,0.30972092622001807,0.32991887173643908,-0.10591732157800154,1.1562712598383116,1.2347332014058001,0,0,True,True
3,2024-2025,2024-10-25,1220,0.31645669590377262,0.30858508925134881,0.32615395878763187,-0.09288342464228945,1.1620962629711948,1.2296946036634238,0,0,True,True
3,2024-2025,2024-10-26,1221,0.31802472330869558,0.30952279538924288,0.32842571563900474,-0.089400129685271848,1.1524364704517154,1.2275475622808105,0,0,True,True
