rung,fold,inner_fold,lambda,lambda_label,inner_train_matches,inner_valid_matches,inner_train_max_date,inner_valid_min_date,inner_val_log_loss,inner_val_rps,inner_val_accuracy,constant_columns
B2,1,2,1000,lam=1000,190,95,2022-01-02,2022-01-03,1.0229160038911431,0.22590267521514995,0.51578947368421058,29
B2,1,3,1000,lam=1000,285,95,2022-03-18,2022-03-19,0.97171797154449913,0.20359936989429026,0.54736842105263162,29
B2,1,1,3000,lam=3000,97,93,2021-10-30,2021-10-31,1.1001608412992567,0.23829357677944807,0.25806451612903225,33
B2,1,2,3000,lam=3000,190,95,2022-01-02,2022-01-03,1.0380918362060148,0.23265388281094238,0.4631578947368421,29
B2,1,3,3000,lam=3000,285,95,2022-03-18,2022-03-19,0.99803278377024451,0.21398180726753618,0.55789473684210522,29
B2,1,1,10000,lam=10000,97,93,2021-10-30,2021-10-31,1.090295598494224,0.23500752360826513,0.26881720430107525,33
B2,1,2,10000,lam=10000,190,95,2022-01-02,2022-01-03,1.0568038581384973,0.23996894664667645,0.40000000000000002,29
B2,1,3,10000,lam=10000,285,95,2022-03-18,2022-03-19,1.0279038710632906,0.22546712039803457,0.58947368421052626,29
B2,2,1,100,lam=100,190,190,2022-01-02,2022-01-03,1.0742021318571922,0.23353539050577574,0.53157894736842104,29
B2,2,2,100,lam=100,380,189,2022-05-22,2022-08-05,1.0619734509626355,0.23020984440367698,0.48148148148148145,29
B2,2,3,100,lam=100,569,191,2023-01-19,2023-01-21,1.0055362828982073,0.20495973884879432,0.52879581151832455,4
B2,2,1,300,lam=300,190,190,2022-01-02,2022-01-03,0.99460046540548375,0.21429352061932996,0.54210526315789476,29
B2,2,2,300,lam=300,380,189,2022-05-22,2022-08-05,1.0330561123069326,0.22310762122568034,0.48677248677248675,29
B2,2,3,300,lam=300,569,191,2023-01-19,2023-01-21,0.98456152907441796,0.2007273519231223,0.51832460732984298,4
B2,2,1,1000,lam=1000,190,190,2022-01-02,2022-01-03,0.99259641871057147,0.21423220070358501,0.54736842105263162,29
B2,2,2,1000,lam=1000,380,189,2022-05-22,2022-08-05,1.0202832863600055,0.21972738985684262,0.49735449735449733,29
B2,2,3,1000,lam=1000,569,191,2023-01-19,2023-01-21,0.97579318483752875,0.19908468071927682,0.54973821989528793,4
B2,2,1,3000,lam=3000,190,190,2022-01-02,2022-01-03,1.0203243582553569,0.22414866033645761,0.51578947368421058,29
B2,2,2,3000,lam=3000,380,189,2022-05-22,2022-08-05,1.0251521688485727,0.22144694927119882,0.49206349206349204,29
B2,2,3,3000,lam=3000,569,191,2023-01-19,2023-01-21,0.98622387707117387,0.20276489162111552,0.56020942408376961,4
B2,2,1,10000,lam=10000,190,190,2022-01-02,2022-01-03,1.0450592046199354,0.23319970803573181,0.44210526315789472,29
B2,2,2,10000,lam=10000,380,189,2022-05-22,2022-08-05,1.0392546992408296,0.22646444226891732,0.47619047619047616,29
B2,2,3,10000,lam=10000,569,191,2023-01-19,2023-01-21,1.012936539382175,0.21237013605821681,0.52879581151832455,4
B2,3,1,100,lam=100,285,284,2022-03-18,2022-03-19,1.0148724488515686,0.21609903105555317,0.52464788732394363,29
B2,3,2,100,lam=100,569,286,2023-01-19,2023-01-21,1.0017204545498051,0.2034931492029643,0.54545454545454541,4
B2,3,3,100,lam=100,855,285,2023-10-28,2023-10-29,0.97041167461170152,0.20097109950497963,0.56140350877192979,4
B2,3,1,300,lam=300,285,284,2022-03-18,2022-03-19,0.99898081322328658,0.21249583082495188,0.51760563380281688,29
B2,3,2,300,lam=300,569,286,2023-01-19,2023-01-21,0.97826355039507429,0.19958737841205121,0.54195804195804198,4
B2,3,3,300,lam=300,855,285,2023-10-28,2023-10-29,0.96366103438167217,0.19958428253593694,0.57192982456140351,4
B2,3,1,1000,lam=1000,285,284,2022-03-18,2022-03-19,1.0011969279120712,0.21377404654958534,0.51760563380281688,29
B2,3,2,1000,lam=1000,569,286,2023-01-19,2023-01-21,0.9709096110476747,0.199101808120352,0.56293706293706292,4
B2,3,3,1000,lam=1000,855,285,2023-10-28,2023-10-29,0.96255119997649075,0.19974141398533699,0.56842105263157894,4
B2,3,1,3000,lam=3000,285,284,2022-03-18,2022-03-19,1.0183618869870172,0.21994059344402667,0.52112676056338025,29
B2,3,2,3000,lam=3000,569,286,2023-01-19,2023-01-21,0.98415862594070536,0.20420129153471495,0.57692307692307687,4
B2,3,3,3000,lam=3000,855,285,2023-10-28,2023-10-29,0.97248777609583348,0.20321814461156801,0.56842105263157894,4
B2,3,1,10000,lam=10000,285,284,2022-03-18,2022-03-19,1.0392658491851041,0.22758075575296102,0.51760563380281688,29
B2,3,2,10000,lam=10000,569,286,2023-01-19,2023-01-21,1.013715677176118,0.2151145527850504,0.52797202797202802,4
