arm,fold,team,parameter,refits,mean_abs_change,mean_level,relative_change
goals,3,Everton,attack,109,0.014563169615122619,0.76081112002960916,0.019141636119298377
goals,3,Everton,defence,109,0.019049573925459754,1.0440909395190356,0.018245129044252611
goals,3,Fulham,attack,109,0.015483181647984165,1.0895926393608413,0.014210064466906322
goals,3,Fulham,defence,109,0.018110565828355935,1.1853040099864398,0.015279258043312554
goals,3,Leeds United,attack,109,0.0049868329422353705,0.92811556088088465,0.0053730733029648944
goals,3,Leeds United,defence,109,0.010501548291407521,1.8334700567485342,0.0057276900993032355
goals,3,Leicester City,attack,109,0.023641734762186468,0.80064228798197001,0.029528461233013045
goals,3,Leicester City,defence,109,0.032359050942158345,1.7176136814392775,0.018839539584386066
goals,3,Liverpool,attack,109,0.016580712166784542,1.673046143813721,0.0099104930417452126
goals,3,Liverpool,defence,109,0.018305814216707867,0.87816658966701489,0.020845491541245157
goals,3,Luton Town,attack,109,0.0049743669871875826,1.085041668338935,0.0045844939713722927
goals,3,Luton Town,defence,109,0.011983688912023028,1.9388713778946824,0.0061807549735637853
goals,3,Manchester City,attack,109,0.02159766043367246,1.5965358641477196,0.013527826664390005
goals,3,Manchester City,defence,109,0.016592307828916207,0.93729164354604366,0.017702395986528525
goals,3,Manchester Utd,attack,109,0.018560471020499843,0.99276109431358373,0.018695808212884239
goals,3,Manchester Utd,defence,109,0.020754311341794927,1.1728562092100374,0.017695529237785876
goals,3,Newcastle,attack,109,0.019716827274318498,1.4180807795614143,0.013903881611325795
goals,3,Newcastle,defence,109,0.021242093239260296,1.1603559914590131,0.018306531267659354
goals,3,Norwich City,attack,109,0.0021711407215797398,0.43850523522049922,0.0049512310166331241
goals,3,Norwich City,defence,109,0.010788415289291699,1.9576714499636996,0.0055108405904840388
goals,3,Nottingham,attack,109,0.016674244391901225,1.0969975569187809,0.015199892002253334
goals,3,Nottingham,defence,109,0.022415962337109935,1.1100147243019505,0.02019429278400478
goals,3,Sheffield United,attack,109,0.0034098095640447061,0.73862680614562326,0.0046164172971708377
goals,3,Sheffield United,defence,109,0.013505789213976275,2.2531431327491886,0.0059941993997944948
goals,3,Southampton,attack,109,0.021126203575197153,0.55104035508612159,0.038338759367080033
goals,3,Southampton,defence,109,0.042431721221574507,1.7862819234496643,0.023754212962996596
goals,3,Tottenham,attack,109,0.022922095029259633,1.4265784383557236,0.016067882713606461
goals,3,Tottenham,defence,109,0.021101047068402864,1.3026752632705254,0.016198240392948052
goals,3,Watford,attack,109,0.0027154466992474211,0.55291836391517302,0.00491111686003617
goals,3,Watford,defence,109,0.011034464379169155,1.8179515242827082,0.0060697242097931727
goals,3,West Ham,attack,109,0.01451023895085235,0.98497451139098502,0.014731588262482987
goals,3,West Ham,defence,109,0.021324063914409445,1.4936241854980792,0.014276726449296551
goals,3,Wolves,attack,109,0.014516364985584151,1.0475376835118058,0.013857606474756048
goals,3,Wolves,defence,109,0.023451844484575327,1.5583931914757607,0.015048733922128469
sot,3,Arsenal,attack,109,0.010230512899923274,1.2094319286912085,0.0084589406457908408
sot,3,Arsenal,defence,109,0.028712725862473119,2.4592888180900299,0.011675215066757564
sot,3,Aston Villa,attack,109,0.0096551424689231263,1.019486374604371,0.0094705949088039251
sot,3,Aston Villa,defence,109,0.030310995441332807,3.7137678934701199,0.008161790480936711
sot,3,Bournemouth,attack,109,0.011460985655740328,1.2307926662480626,0.0093118735348642397
sot,3,Bournemouth,defence,109,0.041295240149601682,4.1666737162504912,0.0099108408677515709
sot,3,Brentford,attack,109,0.010498309258262381,1.1000828281433521,0.009543198920740124
sot,3,Brentford,defence,109,0.039473737703212164,4.6079905309858038,0.008566366931046494
sot,3,Brighton,attack,109,0.0084687706703205703,1.1328299039205882,0.0074757654622385691
sot,3,Brighton,defence,109,0.034487141524134582,3.4366722465011561,0.010035039436549592
sot,3,Burnley,attack,109,0.0027973938612573957,0.93902917092515104,0.0029790276467144736
sot,3,Burnley,defence,109,0.020273259820606095,5.573590040968079,0.0036373790809136773
sot,3,Chelsea,attack,109,0.013036417707868606,1.3727938256188088,0.0094962677312394172
sot,3,Chelsea,defence,109,0.037028081228945214,3.8802171131318794,0.0095427859187648297
sot,3,Crystal Palace,attack,109,0.010720394420317195,1.0841150862648876,0.0098886128937217127
sot,3,Crystal Palace,defence,109,0.041064838729597958,3.4614566715116086,0.011863455945460399
sot,3,Everton,attack,109,0.0080911093440038263,0.86471854347381816,0.0093569282225631004
sot,3,Everton,defence,109,0.034535002814149625,3.7302868500447657,0.0092580019184677932
sot,3,Fulham,attack,109,0.011995691683866784,1.0749079293305162,0.011159738761382147
sot,3,Fulham,defence,109,0.035471215619395528,3.7146135666401769,0.0095490997873781021
sot,3,Leeds United,attack,109,0.002887352153572401,0.87475886449288676,0.0033007406621094952
sot,3,Leeds United,defence,109,0.015011130387229524,4.3789311012836185,0.0034280352990320477
sot,3,Leicester City,attack,109,0.013988104570889667,0.75019568960385319,0.018645941005441122
sot,3,Leicester City,defence,109,0.072348723108143109,4.8779679560629647,0.014831733984274913
sot,3,Liverpool,attack,109,0.013327235704189663,1.5502284423655939,0.0085969495462570478
sot,3,Liverpool,defence,109,0.035569851934318802,3.1162867020508918,0.011414178262516591
sot,3,Luton Town,attack,109,0.0027243016937007359,0.92786415735764816,0.0029360997211692543
sot,3,Luton Town,defence,109,0.018288932534337315,5.0961293585181648,0.0035887889116800811
sot,3,Manchester City,attack,109,0.010709344623055159,1.4716832268136568,0.0072769359791114655
